Time,TargetSpeed,SpeedL,SpeedR,TheoYawRate,ActualYawRate,SlipFlag
00:00:00,-368.47,-1579.52,-1717.73,-0.7898,-0.5895,0
00:00:00,-376.74,-1619.01,-1688.11,-0.3949,-0.3169,0
00:00:00,-392.77,-1643.69,-1712.79,-0.3949,-0.3307,0
00:00:00,-408.17,-1653.56,-1707.86,-0.3103,-0.1776,0
00:00:00,-415.66,-1712.79,-1707.86,0.0282,-0.1386,0
00:00:00,-430.24,-1732.54,-1762.15,-0.1692,0.0492,0
00:00:00,-425.30,-1811.51,-1791.77,0.1128,0.0626,0
00:00:00,-410.54,-1915.17,-1885.55,0.1692,0.1562,0
00:00:00,-395.23,-1979.34,-1885.55,0.5359,0.2556,0
00:00:00,-387.35,-1959.59,-1855.94,0.5923,0.3538,0
00:00:00,-371.08,-1920.10,-1816.45,0.5923,0.4246,0
00:00:00,-354.08,-1974.40,-1826.32,0.8462,0.5369,0
00:00:00,-336.21,-2028.70,-1846.06,1.0436,0.7792,0
00:00:00,-317.33,-2018.82,-1836.19,1.0436,0.9277,0
00:00:00,-297.26,-2028.70,-1762.15,1.5231,1.0477,0
00:00:00,-275.74,-2038.57,-1737.47,1.7205,1.3299,0
00:00:00,-252.38,-2073.12,-1683.18,2.2283,1.6887,0
00:00:00,-226.64,-2073.12,-1648.62,2.4257,1.8619,0
00:00:00,-214.57,-2053.38,-1643.69,2.3411,1.4259,0
00:00:00,-198.33,-1959.59,-1599.26,2.0590,1.4725,0
00:00:00,-227.30,-1885.55,-1530.16,2.0308,1.5491,0
00:00:00,-235.98,-1801.64,-1421.57,2.1718,1.8496,0
00:00:00,-247.24,-1791.77,-1391.95,2.2847,1.7074,0
00:00:00,-264.74,-1801.64,-1406.76,2.2565,1.6952,0
00:00:00,-272.09,-1786.83,-1421.57,2.0872,1.5262,0
00:00:00,-293.53,-1722.66,-1426.50,1.6923,1.4303,0
00:00:00,-303.85,-1722.66,-1396.89,1.8616,1.2252,0
00:00:00,-323.51,-1697.98,-1456.12,1.3821,1.1774,0
00:00:00,-332.91,-1717.73,-1480.80,1.3539,0.9122,0
00:00:00,-350.94,-1688.11,-1500.54,1.0718,0.9239,0
00:00:00,-359.62,-1673.30,-1515.35,0.9026,0.7853,0
00:00:00,-376.38,-1722.66,-1564.71,0.9026,0.6908,0
00:00:00,-368.35,-1727.60,-1609.14,0.6769,0.5834,0
00:00:00,-359.88,-1786.83,-1658.50,0.7333,0.3912,0
00:00:00,-342.31,-1767.09,-1717.73,0.2821,0.3399,0
00:00:00,-323.80,-1786.83,-1727.60,0.3385,0.2378,0
00:00:00,-314.13,-1811.51,-1752.28,0.3385,0.1103,0
00:00:00,-293.84,-1781.90,-1757.22,0.1410,0.1252,0
00:00:00,-272.04,-1786.83,-1772.02,0.0846,0.1529,0
00:00:00,-248.34,-1776.96,-1786.83,-0.0564,-0.0175,0
00:00:00,-222.12,-1747.34,-1772.02,-0.1410,-0.2593,0
00:00:00,-207.77,-1772.02,-1826.32,-0.3103,-0.2344,0
00:00:00,-175.60,-1693.05,-1826.32,-0.7616,-0.5018,0
00:00:00,-136.01,-1865.81,-1999.08,-0.7616,-1.0625,0
00:00:00,-78.52,-1949.72,-2137.29,-1.0718,-0.7486,0
00:00:00,0.00,-1727.60,-2176.78,-2.5667,-2.3217,0
00:00:00,0.00,-1105.66,-1722.66,-3.5257,-2.1370,0
00:00:00,0.00,-814.44,-1387.02,-3.2719,-2.2833,0
00:00:00,0.00,-834.18,-1234.00,-2.2847,-1.5634,0
00:00:00,0.00,-695.98,-957.58,-1.4949,-0.7872,0
00:00:00,0.00,-720.66,-834.18,-0.6487,-0.5226,0
00:00:00,0.00,-695.98,-750.27,-0.3103,-0.1461,0
00:00:00,0.00,-612.06,-671.30,-0.3385,-0.0637,0
00:00:00,0.00,-523.22,-562.70,-0.2256,-0.0080,0
00:00:00,0.00,-439.30,-468.92,-0.1692,-0.0060,0
00:00:00,0.00,-419.56,-439.30,-0.1128,-0.0845,0
00:00:00,0.00,-355.39,-345.52,0.0564,0.0732,0
00:00:00,0.00,-261.61,-261.61,0.0000,0.0270,0
00:00:00,0.00,-192.50,-212.25,-0.1128,-0.0174,0
00:00:00,0.00,-212.25,-207.31,0.0282,0.0170,0
00:00:00,0.00,-207.31,-212.25,-0.0282,-0.0651,0
00:00:00,0.00,-177.70,-182.63,-0.0282,-0.0467,0
00:00:00,0.00,-118.46,-143.14,-0.1410,-0.0852,0
00:00:00,0.00,-93.78,-98.72,-0.0282,-0.0293,0
00:00:00,0.00,-78.98,-74.04,0.0282,0.0574,0
00:00:00,0.00,-64.17,-54.30,0.0564,0.0745,0
00:00:00,0.00,-49.36,-44.42,0.0282,0.0524,0
00:00:00,0.00,-29.62,-24.68,0.0282,0.0472,0
00:00:00,0.00,-4.94,0.00,0.0282,0.0214,0
00:00:00,0.00,4.94,4.94,0.0000,0.0064,0
00:00:00,0.00,24.68,29.62,0.0282,0.0215,0
00:00:00,0.00,44.42,44.42,0.0000,0.0187,0
00:00:00,0.00,59.23,54.30,-0.0282,0.0280,0
00:00:00,0.00,74.04,69.10,-0.0282,0.0196,0
00:00:00,0.00,69.10,64.17,-0.0282,-0.0461,0
00:00:00,0.00,74.04,69.10,-0.0282,-0.0111,0
00:00:00,0.00,88.85,83.91,-0.0282,-0.0428,0
00:00:00,0.00,103.66,98.72,-0.0282,-0.0931,0
00:00:00,0.00,128.34,108.59,-0.1128,-0.0267,0
00:00:00,0.00,108.59,113.53,0.0282,0.0341,0
00:00:00,0.00,103.66,113.53,0.0564,0.0459,0
00:00:00,0.00,103.66,103.66,0.0000,0.0086,0
00:00:00,0.00,108.59,103.66,-0.0282,-0.0114,0
00:00:00,0.00,103.66,113.53,0.0564,0.0468,0
00:00:00,0.00,108.59,123.40,0.0846,0.0989,0
00:00:00,0.00,113.53,118.46,0.0282,-0.0065,0
00:00:00,0.00,118.46,113.53,-0.0282,-0.0356,0
00:00:00,0.00,118.46,128.34,0.0564,0.0392,0
00:00:00,0.00,128.34,128.34,0.0000,-0.0151,0
00:00:00,0.00,123.40,123.40,0.0000,-0.0016,0
00:00:00,0.00,123.40,123.40,0.0000,-0.0268,0
00:00:00,0.00,118.46,128.34,0.0564,0.0789,0
00:00:00,0.00,113.53,128.34,0.0846,0.0641,0
00:00:00,0.00,128.34,118.46,-0.0564,-0.0883,0
00:00:00,0.00,128.34,118.46,-0.0564,-0.0506,0
00:00:00,0.00,118.46,113.53,-0.0282,-0.0555,0
